position,username,user_id,title,text,highlighs,link,location,sentimen,label,address,latitude,longitude,words,stop_words,stemmed_words,processed
0,SiNiel1,1.03e+18,WanaArtha Life Official (@wanaarthalife_) / X,"WanaArtha Life Official's posts ... 2. Emotional spending, yaitu pengeluaran di kala sedih atau stres atau bisa juga saat terlalu senang, padahal bukan untukÂ ...",['WanaArtha Life'],https://twitter.com/wanaarthalife_,Kalimantan Barat,Negatif,0,"Kalimantan Barat, Indonesia",-0.1322387,111.0968901,"['WanaArtha', 'Life', 'Official', 'posts', 'Emotional', 'spending', 'yaitu', 'pengeluaran', 'di', 'kala', 'sedih', 'atau', 'stres', 'atau', 'bisa', 'juga', 'saat', 'terlalu', 'senang', 'padahal', 'bukan', 'untukÂ']","['WanaArtha', 'Life', 'Official', 'posts', 'Emotional', 'spending', '', 'pengeluaran', '', 'kala', 'sedih', '', 'stres', '', '', '', '', 'terlalu', 'senang', 'padahal', 'bukan', 'untukÂ']","['wanaartha', 'life', 'official', 'posts', 'emotional', 'spending', '', 'keluar', '', 'kala', 'sedih', '', 'stres', '', '', '', '', 'terlalu', 'senang', 'padahal', 'bukan', 'untuk']",wanaartha life official posts emotional spending  keluar  kala sedih  stres     terlalu senang padahal bukan untuk
1,ab_anward,2589464034.0,OJK Indonesia,"OJK Cabut Izin Usaha PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life). Sobat OJK, OJK mengumumkan pencabutan izin usaha PT AsuransiÂ ...",['Wanaartha Life'],https://twitter.com/ojkindonesia/status/1600865416716644352,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715,"['OJK', 'Cabut', 'Izin', 'Usaha', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'Sobat', 'OJK', 'OJK', 'mengumumkan', 'pencabutan', 'izin', 'usaha', 'PT', 'AsuransiÂ']","['OJK', 'Cabut', 'Izin', 'Usaha', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'Sobat', 'OJK', 'OJK', 'mengumumkan', 'pencabutan', 'izin', 'usaha', 'PT', 'AsuransiÂ']","['ojk', 'cabut', 'izin', 'usaha', 'pt', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', 'wanaartha', 'life', 'sobat', 'ojk', 'ojk', 'umum', 'cabut', 'izin', 'usaha', 'pt', 'asuransi']",ojk cabut izin usaha pt asuransi jiwa adisarana wanaartha wanaartha life sobat ojk ojk umum cabut izin usaha pt asuransi
2,kusnida_iman,7.72e+17,Tim Likuidasi Beberkan Nasib Aset Wanaartha Life Rp300 ...,Tim Likuidasi Beberkan Nasib Aset Wanaartha Life Rp300 Miliar yang Diblokir Kejagung https://t.co/JlH677tTqS.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1769962531907670439,"JakartaUtara,DKIJakarta",Negatif,0,Jakarta Utara,-6.1362053,106.900691,"['Tim', 'Likuidasi', 'Beberkan', 'Nasib', 'Aset', 'Wanaartha', 'Life', 'Miliar', 'yang', 'Diblokir', 'Kejagung', 'https']","['Tim', 'Likuidasi', 'Beberkan', 'Nasib', 'Aset', 'Wanaartha', 'Life', 'Miliar', '', 'Diblokir', 'Kejagung', 'https']","['tim', 'likuidasi', 'kan', 'nasib', 'aset', 'wanaartha', 'life', 'miliar', '', 'blokir', 'jagung', 'https']",tim likuidasi kan nasib aset wanaartha life miliar  blokir jagung https
3,BappenasRI,235021856.0,"Wanaartha Life Tersangkut Kasus Penggelapan Polis, Ini Profilnya","Wanaartha Life Tersangkut Kasus Penggelapan Polis, Ini Profilnya https://t.co/787RkeyHpX.",['Wanaartha Life'],https://mobile.twitter.com/KATADATAcoid/status/1600460750354808833,www.bappenas.go.id,Negatif,0,"Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1950265,106.8322242,"['Wanaartha', 'Life', 'Tersangkut', 'Kasus', 'Penggelapan', 'Polis', 'Ini', 'Profilnya', 'https']","['Wanaartha', 'Life', 'Tersangkut', 'Kasus', 'Penggelapan', 'Polis', 'Ini', 'Profilnya', 'https']","['wanaartha', 'life', 'sangkut', 'kasus', 'gelap', 'polis', 'ini', 'profil', 'https']",wanaartha life sangkut kasus gelap polis ini profil https
4,FigoFico,1.11e+18,Harian Kompas,"Setelah Wanaartha Life yang dicabut izin usahanya oleh OJK pada Desember 2022, kini giliran Kresna Life. Keduanya gagal memenuhi persyaratan kesehatanÂ ...",['Wanaartha Life'],https://twitter.com/hariankompas/status/1672225368089010178,Borneo,Netral,2,"Borneo, Malinau, Kalimantan Utara, Indonesia",1.42965855,114.7405992,"['Setelah', 'Wanaartha', 'Life', 'yang', 'dicabut', 'izin', 'usahanya', 'oleh', 'OJK', 'pada', 'Desember', 'kini', 'giliran', 'Kresna', 'Life', 'Keduanya', 'gagal', 'memenuhi', 'persyaratan', 'kesehatanÂ']","['Setelah', 'Wanaartha', 'Life', '', 'dicabut', 'izin', 'usahanya', '', 'OJK', '', 'Desember', 'kini', 'giliran', 'Kresna', 'Life', 'Keduanya', 'gagal', 'memenuhi', 'persyaratan', 'kesehatanÂ']","['telah', 'wanaartha', 'life', '', 'cabut', 'izin', 'usaha', '', 'ojk', '', 'desember', 'kini', 'gilir', 'kresna', 'life', 'dua', 'gagal', 'penuh', 'syarat', 'sehat']",telah wanaartha life  cabut izin usaha  ojk  desember kini gilir kresna life dua gagal penuh syarat sehat
5,KompasData,771030588.0,Pemegang Polis Griya Makmur Wanaartha Life dapat ...,"Pemegang Polis Griya Makmur Wanaartha Life dapat Tanah dan Bangunan, Cek Syaratnya https://t.co/OYHFBFw0le.",['Wanaartha Life'],https://twitter.com/Bisniscom/status/1747491324587352231,"Palmerah,Jakarta",Positif,1,"Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1910017,106.7943633,"['Pemegang', 'Polis', 'Griya', 'Makmur', 'Wanaartha', 'Life', 'dapat', 'Tanah', 'dan', 'Bangunan', 'Cek', 'Syaratnya', 'https']","['Pemegang', 'Polis', 'Griya', 'Makmur', 'Wanaartha', 'Life', '', 'Tanah', '', 'Bangunan', 'Cek', 'Syaratnya', 'https']","['pegang', 'polis', 'griya', 'makmur', 'wanaartha', 'life', '', 'tanah', '', 'bangun', 'cek', 'syarat', 'https']",pegang polis griya makmur wanaartha life  tanah  bangun cek syarat https
6,dflfp,197713730.0,OJK Indonesia,"Beberapa kasus perusahaan asuransi spt Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL), Asuransi Jiwa Kresna (Kresna Life/PT AJK)Â ...",['Wanaartha Life'],https://twitter.com/ojkindonesia/status/1621747849246695424,"Kalimantan Timur,Indonesia",Negatif,0,"Kalimantan Timur, Indonesia",0.7884397,116.2419977,"['Beberapa', 'kasus', 'perusahaan', 'asuransi', 'spt', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'WAL', 'Asuransi', 'Jiwa', 'Kresna', 'Kresna', 'AJK', 'Â']","['Beberapa', 'kasus', 'perusahaan', 'asuransi', 'spt', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'WAL', 'Asuransi', 'Jiwa', 'Kresna', 'Kresna', 'AJK', 'Â']","['beberapa', 'kasus', 'usaha', 'asuransi', 'spt', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', 'wanaartha', 'wal', 'asuransi', 'jiwa', 'kresna', 'kresna', 'ajk', '']",beberapa kasus usaha asuransi spt asuransi jiwa adisarana wanaartha wanaartha wal asuransi jiwa kresna kresna ajk 
7,itechcourse,7.16e+17,Begini Kabar Terbaru Pembayaran Polis Korban Asuransi ...,Tim Likuidasi PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) mengundang pemegang polis (pempol) untuk membahas tata cara pembayaranÂ ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1751809222541763051,"KotaMetro,Lampung",Positif,1,"Alun-alun Kota Metro, Metro, Lampung, Indonesia",-5.11471345,105.3083226,"['Tim', 'Likuidasi', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'mengundang', 'pemegang', 'polis', 'pempol', 'untuk', 'membahas', 'tata', 'cara', 'pembayaranÂ']","['Tim', 'Likuidasi', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'mengundang', 'pemegang', 'polis', 'pempol', '', 'membahas', 'tata', 'cara', 'pembayaranÂ']","['tim', 'likuidasi', 'pt', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', 'wanaartha', 'life', 'undang', 'pegang', 'polis', 'pempol', '', 'bahas', 'tata', 'cara', 'bayar']",tim likuidasi pt asuransi jiwa adisarana wanaartha wanaartha life undang pegang polis pempol  bahas tata cara bayar
8,Muhammad_RM16,602755138.0,OJK Minta DPO Kasus Wanaartha Life Evelina Pietruschka ...,OJK Minta DPO Kasus Wanaartha Life Evelina Pietruschka Balik ke Indonesia https://t.co/KyV4eS6HYC.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1760713212901871982,"Banten,Indonesia",Positif,1,"Banten, Indonesia",-6.47800285,105.5410285,"['OJK', 'Minta', 'DPO', 'Kasus', 'Wanaartha', 'Life', 'Evelina', 'Pietruschka', 'Balik', 'ke', 'Indonesia', 'https']","['OJK', 'Minta', 'DPO', 'Kasus', 'Wanaartha', 'Life', 'Evelina', 'Pietruschka', 'Balik', '', 'Indonesia', 'https']","['ojk', 'minta', 'dpo', 'kasus', 'wanaartha', 'life', 'evelina', 'pietruschka', 'balik', '', 'indonesia', 'https']",ojk minta dpo kasus wanaartha life evelina pietruschka balik  indonesia https
9,raya_1117,4761293701.0,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi ...,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi Obligasi https://t.co/sOtIIvkfCl.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1755422722359001445,"Makassar,Indonesia",Positif,1,"Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia",-5.1342962,119.4124282,"['Tim', 'Likuidasi', 'Wanaartha', 'Life', 'Siap', 'Cairkan', 'Aset', 'Investasi', 'Obligasi', 'https']","['Tim', 'Likuidasi', 'Wanaartha', 'Life', 'Siap', 'Cairkan', 'Aset', 'Investasi', 'Obligasi', 'https']","['tim', 'likuidasi', 'wanaartha', 'life', 'siap', 'cair', 'aset', 'investasi', 'obligasi', 'https']",tim likuidasi wanaartha life siap cair aset investasi obligasi https
