position,username,user_id,title,text,highlighs,link,location,sentimen,label,address,latitude,longitude
0,SiNiel1,1.03e+18,WanaArtha Life Official (@wanaarthalife_) / X,"WanaArtha Life Official's posts ... 2. Emotional spending, yaitu pengeluaran di kala sedih atau stres atau bisa juga saat terlalu senang, padahal bukan untukÂ ...",['WanaArtha Life'],https://twitter.com/wanaarthalife_,Kalimantan Barat,Negatif,0,"Kalimantan Barat, Indonesia",-0.1322387,111.0968901
1,ab_anward,2589464034.0,OJK Indonesia,"OJK Cabut Izin Usaha PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life). Sobat OJK, OJK mengumumkan pencabutan izin usaha PT AsuransiÂ ...",['Wanaartha Life'],https://twitter.com/ojkindonesia/status/1600865416716644352,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
2,kusnida_iman,7.72e+17,Tim Likuidasi Beberkan Nasib Aset Wanaartha Life Rp300 ...,Tim Likuidasi Beberkan Nasib Aset Wanaartha Life Rp300 Miliar yang Diblokir Kejagung https://t.co/JlH677tTqS.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1769962531907670439,"JakartaUtara,DKIJakarta",Negatif,0,Jakarta Utara,-6.1362053,106.900691
3,BappenasRI,235021856.0,"Wanaartha Life Tersangkut Kasus Penggelapan Polis, Ini Profilnya","Wanaartha Life Tersangkut Kasus Penggelapan Polis, Ini Profilnya https://t.co/787RkeyHpX.",['Wanaartha Life'],https://mobile.twitter.com/KATADATAcoid/status/1600460750354808833,www.bappenas.go.id,Negatif,0,"Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1950265,106.8322242
4,FigoFico,1.11e+18,Harian Kompas,"Setelah Wanaartha Life yang dicabut izin usahanya oleh OJK pada Desember 2022, kini giliran Kresna Life. Keduanya gagal memenuhi persyaratan kesehatanÂ ...",['Wanaartha Life'],https://twitter.com/hariankompas/status/1672225368089010178,Borneo,Netral,2,"Borneo, Malinau, Kalimantan Utara, Indonesia",1.42965855,114.7405992
5,KompasData,771030588.0,Pemegang Polis Griya Makmur Wanaartha Life dapat ...,"Pemegang Polis Griya Makmur Wanaartha Life dapat Tanah dan Bangunan, Cek Syaratnya https://t.co/OYHFBFw0le.",['Wanaartha Life'],https://twitter.com/Bisniscom/status/1747491324587352231,"Palmerah,Jakarta",Positif,1,"Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1910017,106.7943633
6,dflfp,197713730.0,OJK Indonesia,"Beberapa kasus perusahaan asuransi spt Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL), Asuransi Jiwa Kresna (Kresna Life/PT AJK)Â ...",['Wanaartha Life'],https://twitter.com/ojkindonesia/status/1621747849246695424,"Kalimantan Timur,Indonesia",Negatif,0,"Kalimantan Timur, Indonesia",0.7884397,116.2419977
7,itechcourse,7.16e+17,Begini Kabar Terbaru Pembayaran Polis Korban Asuransi ...,Tim Likuidasi PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) mengundang pemegang polis (pempol) untuk membahas tata cara pembayaranÂ ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1751809222541763051,"KotaMetro,Lampung",Positif,1,"Alun-alun Kota Metro, Metro, Lampung, Indonesia",-5.11471345,105.3083226
8,Muhammad_RM16,602755138.0,OJK Minta DPO Kasus Wanaartha Life Evelina Pietruschka ...,OJK Minta DPO Kasus Wanaartha Life Evelina Pietruschka Balik ke Indonesia https://t.co/KyV4eS6HYC.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1760713212901871982,"Banten,Indonesia",Positif,1,"Banten, Indonesia",-6.47800285,105.5410285
9,raya_1117,4761293701.0,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi ...,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi Obligasi https://t.co/sOtIIvkfCl.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1755422722359001445,"Makassar,Indonesia",Positif,1,"Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia",-5.1342962,119.4124282
10,sirodjudin01,7.51e+17,Lyn (@Lolypop502) / X,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi Obligasi https://t.co/sOtIIvkfCl.,['Wanaartha Life'],https://twitter.com/Lolypop502,"Banjarnegara,Indonesia",Positif,1,"Banjarnegara, Jawa Tengah, Indonesia",-7.3558733,109.6600728
11,tribunnews,124171593.0,webarq,A new year means a new online presence #byWEBARQ for WanaArtha Life - now up on https://t.co/nwPFzzcL3Y.,['WanaArtha Life'],https://twitter.com/webarq/status/816502229792276480,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
12,sofians,19049983.0,webarq,"... U1QE. Image. WEBARQ Â· @webarq. Â·. Jan 4, 2017. A new year means a new online presence #byWEBARQ for WanaArtha Life - now up on http://webarq.co/d4CN. Image.",['WanaArtha Life'],https://twitter.com/webarq,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
13,SiNiel1,1.03e+18,Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & ...,OJK telah memberi sanksi Pencabutan Izin Usaha (CIU) ke PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) dan PT Asuransi Jiwa Kresna (Â ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1719986437133943099,Kalimantan Barat,Positif,1,"Kalimantan Barat, Indonesia",-0.1322387,111.0968901
14,ab_anward,2589464034.0,"KAP Wanaartha Lakukan 2 Audit Sekaligus, Timnya 60 ...",Kantor Akuntan Publik (KAP) telah mulai bekerja dalam proses likuidasi Asuransi Jiwa Adisarana Wanaartha (Wanaartha LIfe/WAL). Adapun prosesÂ ...,['Wanaartha LIfe'],https://twitter.com/cnbcindonesia/status/1655784049280159745,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
15,kusnida_iman,7.72e+17,Katadata.co.id,"Top News: Nasabah Wanaartha Life Protes OJK, Sepak Terjang PT TMI Berikut 5 artikel populer https://t.co/ObAXGQ0Gwc pada Senin (8/1).",['Wanaartha Life'],https://twitter.com/KATADATAcoid/status/1744549482656837872,"Makassar,SulawesiSelata",Negatif,0,"Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia",-5.1342962,119.4124282
16,BappenasRI,235021856.0,Investor Daily,"Aspan dan Prolife belum sampai tahap pembayaran klaim, sedangkan Wanaartha Life sudah melalui pembayaran klaim tahap 1.",['Wanaartha Life'],https://twitter.com/InvestorID/status/1765697048500957545,www.bappenas.go.id,Positif,1,"Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1950265,106.8322242
17,KompasData,771030588.0,Nasabah Desak OJK Tindak Pemilik WanaArtha Life Pidana ...,Nasabah Desak OJK Tindak Pemilik WanaArtha Life Pidana Keuangan https://t.co/NFWDMsob92 #TempoBisnis.,['WanaArtha Life'],https://twitter.com/tempodotco/status/1744358697516572953,"Palmerah,Jakarta",Negatif,0,"Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1910017,106.7943633
18,dflfp,197713730.0,"Korban Wanaartha Meninggal Usai Sidang, Ini Kata Kuasa ...",Satu korban gagal bayar Asuransi Wanaartha Life meninggal usai terlibat kericuhan di persidangan gugatan class action. 5:55 AM Â· Dec 20Â ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1737350868868141420,"Kalimantan Timur,Indonesia",Negatif,0,"Kalimantan Timur, Indonesia",0.7884397,116.2419977
19,itechcourse,7.16e+17,"Peringatan Kesekian, Buron Asuransi Wanaartha Diminta ...",Otoritas Jasa Keuangan (OJK) terus mengawal proses likuidasi dua perusahaan asuransi gagal bayar PT Asuransi Adisarana Wanaartha (Wanaartha Life)Â ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1760262016428601541,"KotaMetro,Lampung",Positif,1,"Alun-alun Kota Metro, Metro, Lampung, Indonesia",-5.11471345,105.3083226
20,Muhammad_RM16,602755138.0,"TL Cuma Mau Bayar 4,45% Tagihan, Korban Wanaartha ...","Ratusan korban PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) berbondong-bondong mendatangi kantor OJK di Jakarta pada Selasa, (24/1/2024)Â ...",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1750041390640513461,"Banten,Indonesia",Negatif,0,"Banten, Indonesia",-6.47800285,105.5410285
21,raya_1117,4761293701.0,DetikFinance,"Total kewajiban yang harus dibayar WanaArtha Life ke para pemegang polis adalah Rp15,7 triliun tapi aset perusahaan tak sampai Rp100 miliar.",['WanaArtha Life'],https://mobile.twitter.com/detikfinance/status/1609794845043728385,BTJ,Negatif,0,"Bandar Udara Internasional Sultan Iskandarmuda, Jalan T. Iskandar, Cadek, Kuta Baro, Aceh Besar, Aceh, 23371, Indonesia",5.52776805,95.41944349
