position;title;snippet;highlighs;link;displayed_link;sitelinks
0;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan ...;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan Modal Rp250 Miliar pada 2026 https://t.co/SWtU3KARAY.;['Asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1790169549037564227;https://twitter.com › Bisniscom › status;
1;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan ...;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan Modal Rp250 Miliar Saat Ekuitas Minus Rp4 Triliun https://t.co/qKbVs1uEta.;['Asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1790176089656168952;https://twitter.com › Bisniscom › status;
2;Sistem Klaim Asuransi Bumiputera 1912 Mati 6 Bulan? ...;Sistem Klaim Asuransi Bumiputera 1912 Mati 6 Bulan? Manajemen Buka Suara https://t.co/XhKfJJvQsz.;['Asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1740290271903129903;https://twitter.com › Bisniscom › status;
3;"""Dari lama kami ingin bahas Asuransi Bumiputera tapi ...";Dari lama kami ingin bahas Asuransi Bumiputera tapi bingung siapa yg harus disalahkan? BUMN bukan Perseroan swasta pun bukan.;['Asuransi Bumiputera'];https://twitter.com/PartaiSocmed/status/1670633732842348545;https://twitter.com › PartaiSocmed › status;
4;convomfs;di sini ada yg korban asuransi bumiputera ngga ya? Kira-kira prosedur buat pengembalian polis gmn ya alurnya, soalnya uang buat kuliah ...;['asuransi bumiputera'];https://twitter.com/convomfs/status/1755492434325508306;https://twitter.com › convomfs › status;
5;Kabinet KM ITB;[Asuransi Bumiputera Muda] Asuransi setiap mahasiswa ITB! Info lengkap-> datangi loket beasiswa LK,Basement CC Barat.;['Asuransi Bumiputera'];https://twitter.com/KM_ITB/status/730400121624494082;https://twitter.com › KM_ITB › status;
6;Tak Satu Pun Aset Properti AJB Bumiputera Terjual, Uang ...;OJK menyatakan belum terdapat properti milik asuransi Bumiputera yang terjual, padahal diharapkan bisa menjadi sumber dana untuk pembayaran ...;['asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1732000139391475803;https://twitter.com › Bisniscom › status;
7;Bos Uya Kuya (@Bos_UyaKuya) / ...;Dari lama kami ingin bahas Asuransi Bumiputera tapi bingung siapa yg harus disalahkan? BUMN bukan Perseroan swasta pun bukan. Ada yg bisa bantu menjelaskan ...;['Asuransi Bumiputera'];https://twitter.com/Bos_UyaKuya;https://twitter.com › Bos_UyaKuya;
8;Strategi + Bisnis;Feb 17, 2023 — Ratapan Duka Korban Asuransi Bumiputera dan KSP Indosurya | Blog Strategi + Manajemen https://t.co/PIBOqc37ab.;['Asuransi Bumiputera'];https://twitter.com/Strategi_Bisnis/status/1626569362336534534;https://twitter.com › status;{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://twitter.com/Strategi_Bisnis/status/1626569362336534534&prev=search&pto=aue'}]}
9;kontan news;Nov 12, 2019 — Kawal pembayaran premi yang telat, SP Asuransi Bumiputera minta maaf https://t.co/hBdxgJWcgm #Asuransi.;['Asuransi Bumiputera'];https://mobile.twitter.com/KontanNews/status/1194306374592679936;https://mobile.twitter.com › status;{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://mobile.twitter.com/KontanNews/status/1194306374592679936&prev=search&pto=aue'}]}
