username;user_id;location;address;latitude;longitude;;;;;;;;;;;;;;;;;;;;
SiNiel1;1.03e+18;Kalimantan Barat;Kalimantan Barat, Indonesia;-0.1322387;111.0968901;;;;;;;;;;;;;;;;;;;;
ab_anward;2589464034.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
kusnida_iman;7.72e+17;JakartaUtara,DKIJakarta;Jakarta Utara;-6.1362053;106.900691;;;;;;;;;;;;;;;;;;;;
BappenasRI;235021856.0;www.bappenas.go.id;Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.1950265;106.8322242;;;;;;;;;;;;;;;;;;;;
FigoFico;1.11e+18;Borneo;Borneo, Malinau, Kalimantan Utara, Indonesia;1.42965855;114.7405992;;;;;;;;;;;;;;;;;;;;
KompasData;771030588.0;Palmerah,Jakarta;Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.1910017;106.7943633;;;;;;;;;;;;;;;;;;;;
dflfp;197713730.0;Kalimantan Timur,Indonesia;Kalimantan Timur, Indonesia;0.7884397;116.2419977;;;;;;;;;;;;;;;;;;;;
itechcourse;7.16e+17;KotaMetro,Lampung;Alun-alun Kota Metro, Metro, Lampung, Indonesia;-5.11471345;105.3083226;;;;;;;;;;;;;;;;;;;;
Muhammad_RM16;602755138.0;Banten,Indonesia;Banten, Indonesia;-6.47800285;105.5410285;;;;;;;;;;;;;;;;;;;;
raya_1117;4761293701.0;Makassar,Indonesia;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-5.1342962;119.4124282;;;;;;;;;;;;;;;;;;;;
sirodjudin01;7.51e+17;Banjarnegara,Indonesia;Banjarnegara, Jawa Tengah, Indonesia;-7.3558733;109.6600728;;;;;;;;;;;;;;;;;;;;
tribunnews;124171593.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
sofians;19049983.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
SiNiel1;1.03e+18;Kalimantan Barat;Kalimantan Barat, Indonesia;-0.1322387;111.0968901;;;;;;;;;;;;;;;;;;;;
ab_anward;2589464034.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
kusnida_iman;7.72e+17;Makassar,SulawesiSelata;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-5.1342962;119.4124282;;;;;;;;;;;;;;;;;;;;
BappenasRI;235021856.0;www.bappenas.go.id;Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.1950265;106.8322242;;;;;;;;;;;;;;;;;;;;
KompasData;771030588.0;Palmerah,Jakarta;Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.1910017;106.7943633;;;;;;;;;;;;;;;;;;;;
dflfp;197713730.0;Kalimantan Timur,Indonesia;Kalimantan Timur, Indonesia;0.7884397;116.2419977;;;;;;;;;;;;;;;;;;;;
itechcourse;7.16e+17;KotaMetro,Lampung;Alun-alun Kota Metro, Metro, Lampung, Indonesia;-5.11471345;105.3083226;;;;;;;;;;;;;;;;;;;;
Muhammad_RM16;602755138.0;Banten,Indonesia;Banten, Indonesia;-6.47800285;105.5410285;;;;;;;;;;;;;;;;;;;;
raya_1117;4761293701.0;BTJ;Bandar Udara Internasional Sultan Iskandarmuda, Jalan T. Iskandar, Cadek, Kuta Baro, Aceh Besar, Aceh, 23371, Indonesia;5.52776805;95.41944349;;;;;;;;;;;;;;;;;;;;
milkywhy__;2904217686.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
sirodjudin01;7.51e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
sofians;19049983.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
DamaiNegeriku1;1.14e+18;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
Djams94471116;1.05e+18;GrahaPena,KebayoranLama12;Graha Pena, Jalan Tanah Baru V, RW 04, Sukabumi Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 12210, Indonesia;-6.2150741;106.7777897;;;;;;;;;;;;;;;;;;;;
rockycoway;791212273.0;Borneo;Borneo, Malinau, Kalimantan Utara, Indonesia;1.42965855;114.7405992;;;;;;;;;;;;;;;;;;;;
