position,title,snippet,highlighs,link,displayed_link,sitelinks
0,Kresna Life Insurance (@KresnaLifeID ...,Official Account Of Kresna Life Insurance (PT Asuransi Jiwa Kresna) ... Kresna Life Insurance (@kresnalife) • Instagram photo. From instagram.com.,"['Kresna Life', 'Kresna Life']",https://twitter.com/KresnaLifeID,https://twitter.com › KresnaLifeID,
4,Kresna Life Insurance,Kresna Life Insurance · @KresnaLifeID. Happy Vesak Day #vesakday · Kresna Life Insurance (@kresnalife) • Instagram photo · From instagram.com · 3:20 AM · May 19 ...,"['Kresna Life', 'Kresna Life']",https://twitter.com/KresnaLifeID/status/1129949967794266121,https://twitter.com › KresnaLifeID › status,
5,Kresna Life Insurance,"Kresna Life Insurance · @KresnaLifeID. Happy Valentines Day! Share the love with everyone around you today!. Image. 1:31 AM · Feb 14, 2019.",['Kresna Life'],https://twitter.com/KresnaLifeID/status/1095857965741965312,https://twitter.com › KresnaLifeID › status,
6,Kresna Life: Kontroversi Putusan PTUN,Kresna Life: Kontroversi Putusan PTUN https://t.co/4JXHgVG5rk.,['Kresna Life'],https://twitter.com/bisnisindo_id/status/1767560248230068599,https://twitter.com › bisnisindo_id › status,
7,Hitexh,"We had jiwasraya case, then kresna life. Now Wanaartha life. OJK knew how screw up wanaartha since 2019 as they didnt publish annual report.",['kresna life'],https://mobile.twitter.com/Rifleamp/status/1600464607998771200,https://mobile.twitter.com › Rifleamp › status,
8,"OJK Siapkan Banding, Ini Kronologi Kasus Kresna Life","OJK Siapkan Banding, Ini Kronologi Kasus Kresna Life https://t.co/ZJ43kfq86Q.",['Kresna Life'],https://twitter.com/cnbcindonesia/status/1762064608435597753,https://twitter.com › cnbcindonesia › status,
9,Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & ...,"Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & Wanaartha https://t.co/DWPeuMksqB. ... (Kresna Life). 7:54 AM · Nov 2, 2023. ·. 353. Views. 1.","['Kresna Life', 'Kresna Life']",https://twitter.com/cnbcindonesia/status/1719986437133943099,https://twitter.com › cnbcindonesia › status,
10,"OJK, Kresna Life, dan Bayang-bayang Langkah Hukum ...","OJK, Kresna Life, dan Bayang-bayang Langkah Hukum Lanjutan https://t.co/yPVnS3uzy4.",['Kresna Life'],https://twitter.com/Bisniscom/status/1762419191603441690,https://twitter.com › Bisniscom › status,
11,tempo,Kisruh Kresna Life memasuki babak baru. OJK meminta banding atas putusan PTUN. Nasib nasabah kian terkatung-katung.,['Kresna Life'],https://twitter.com/temponewsroom/status/1769665050355318861,https://twitter.com › temponewsroom › status,
12,Kresna Life Blak-blakan Alasan Tak Segera Penuhi Titah ...,Kresna Life Blak-blakan Alasan Tak Segera Penuhi Titah OJK https://t.co/g4RBJedIlf.,['Kresna Life'],https://twitter.com/cnbcindonesia/status/1628598089874542592,https://twitter.com › cnbcindonesia › status,
13,Infobank,Berita tentang dikabulkannya gugatan Kresna Life oleh Pengadilan Tata Usaha Negara (PTUN) Jakarta telah merusak “kewarasan” sektor keuangan.,['Kresna Life'],https://twitter.com/infobanknews/status/1764878673428058530,https://twitter.com › infobanknews › status,
14,OJK Cabut Izin Usaha Kresna Life,OJK Cabut Izin Usaha Kresna Life https://t.co/AC3qn7Hnjh.,['Kresna Life'],https://twitter.com/cnbcindonesia/status/1672217548597915648,https://twitter.com › cnbcindonesia › status,
15,Investor Daily,"OJK mengungkap sederet ketidakberesan Kresna Life, baik saat upayanya keluar dari sanksi atau saat coba memenuhi kewajiban kepada nasabah.",['Kresna Life'],https://twitter.com/InvestorID/status/1775170873408049281,https://twitter.com › InvestorID › status,
16,"Tim Likuidasi Kresna Life Terima Tagihan Rp4,34 Triliun ...","Tim Likuidasi Kresna Life Terima Tagihan Rp4,34 Triliun dari Ribuan Pemegang Polis https://t.co/PJdXryFqoR.",['Kresna Life'],https://twitter.com/Bisniscom/status/1754426662136279242,https://twitter.com › Bisniscom › status,
17,OJK Beberkan Alasan Banding ke PTUN usai Pencabutan ...,OJK Beberkan Alasan Banding ke PTUN usai Pencabutan Izin Kresna Life Dibatalkan https://t.co/sE4y6asYNO.,['Kresna Life'],https://twitter.com/Bisniscom/status/1775291006436646925,https://twitter.com › Bisniscom › status,
18,"70% Nasabah Kresna Life Setujui SOL, OJK Ambil ...","70% Nasabah Kresna Life Setujui SOL, OJK Ambil Langkah Ini https://t.co/MUsr6tYXrj.",['Kresna Life'],https://twitter.com/cnbcindonesia/status/1646361204393402369,https://twitter.com › cnbcindonesia › status,
19,tempo.co,"Dikalahkan Kresna Life di PTUN, OJK Ajukan Banding https://t.co/uQQiVvEN7B #TempoBisnis.",['Kresna Life'],https://twitter.com/tempodotco/status/1767755735033909270,https://twitter.com › tempodotco › status,
20,Investor Daily,Keputusan PTUN yang memenangkan Kresna Life terhadap putusan OJK bisa menimbulkan preseden buruk industri asuransi di masyarakat luas.,['Kresna Life'],https://twitter.com/InvestorID/status/1767409742790697099,https://twitter.com › InvestorID › status,
21,Investor Daily,"Selain menang dalam gugatan CIU Kresna Life, Michael Steven Cs juga memang dalam gugatan sanksi denda miliaran dari OJK di PTUN Jakarta.",['Kresna Life'],https://twitter.com/InvestorID/status/1762110549062823948,https://twitter.com › InvestorID › status,
22,OJK Minta Pengendali dan Direksi Kresna Life Ganti Rugi ...,OJK Minta Pengendali dan Direksi Kresna Life Ganti Rugi Pemegang Polis https://t.co/8M4n6Llwqr.,['Kresna Life'],https://twitter.com/KATADATAcoid/status/1672242493742788608,https://twitter.com › KATADATAcoid › status,
23,Michael Steven Mundur dari KREN H-1 Izin Kresna Life ...,Michael Steven Mundur dari KREN H-1 Izin Kresna Life Dicabut https://t.co/QgvWhEb1TX.,['Kresna Life'],https://twitter.com/cnbcindonesia/status/1673122242287505409,https://twitter.com › cnbcindonesia › status,
24,Tim Likuidasi Kresna Life Buka Pendaftaran Tagihan ...,"Tim Likuidasi Kresna Life Buka Pendaftaran Tagihan Babak Kedua, Ini Caranya! https://t.co/0CVpYMFa8J.",['Kresna Life'],https://twitter.com/Bisniscom/status/1754446037727535561,https://twitter.com › Bisniscom › status,
25,OJK Indonesia,"Beberapa kasus perusahaan asuransi spt Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL), Asuransi Jiwa Kresna (Kresna Life/PT AJK) ...",['Kresna Life'],https://twitter.com/ojkindonesia/status/1621747849246695424,https://twitter.com › ojkindonesia › status,
26,CNBC Indonesia,"PT Asuransi Jiwa Kresna (AJK/Kresna Life) hari ini, Senin, (5/6/2023) menyerahkan total 22 dus dokumen ke OJK.",['Kresna Life'],https://twitter.com/cnbcindonesia/status/1665627169182351361,https://twitter.com › cnbcindonesia › status,
