position,title,snippet,highlighs,link,displayed_link,sitelinks
0,WanaArtha Life Official (@wanaarthalife_) / X,"WanaArtha Life Official's posts ... 2. Emotional spending, yaitu pengeluaran di kala sedih atau stres atau bisa juga saat terlalu senang, padahal bukan untuk ...",['WanaArtha Life'],https://twitter.com/wanaarthalife_,https://twitter.com › wanaarthalife_,
1,OJK Indonesia,"OJK Cabut Izin Usaha PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life). Sobat OJK, OJK mengumumkan pencabutan izin usaha PT Asuransi ...",['Wanaartha Life'],https://twitter.com/ojkindonesia/status/1600865416716644352,https://twitter.com › ojkindonesia › status,
2,Tim Likuidasi Beberkan Nasib Aset Wanaartha Life Rp300 ...,Tim Likuidasi Beberkan Nasib Aset Wanaartha Life Rp300 Miliar yang Diblokir Kejagung https://t.co/JlH677tTqS.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1769962531907670439,https://twitter.com › Bisniscom › status,
3,"Wanaartha Life Tersangkut Kasus Penggelapan Polis, Ini Profilnya","Wanaartha Life Tersangkut Kasus Penggelapan Polis, Ini Profilnya https://t.co/787RkeyHpX.",['Wanaartha Life'],https://mobile.twitter.com/KATADATAcoid/status/1600460750354808833,https://mobile.twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://mobile.twitter.com/KATADATAcoid/status/1600460750354808833&prev=search&pto=aue'}]}"
4,Harian Kompas,"Setelah Wanaartha Life yang dicabut izin usahanya oleh OJK pada Desember 2022, kini giliran Kresna Life. Keduanya gagal memenuhi persyaratan kesehatan ...",['Wanaartha Life'],https://twitter.com/hariankompas/status/1672225368089010178,https://twitter.com › status,"{'inline': [{'title': 'Translate this page', 'link': 'https://translate.google.com/translate?hl=en&sl=id&u=https://twitter.com/hariankompas/status/1672225368089010178&prev=search&pto=aue'}]}"
5,Pemegang Polis Griya Makmur Wanaartha Life dapat ...,"Pemegang Polis Griya Makmur Wanaartha Life dapat Tanah dan Bangunan, Cek Syaratnya https://t.co/OYHFBFw0le.",['Wanaartha Life'],https://twitter.com/Bisniscom/status/1747491324587352231,https://twitter.com › Bisniscom › status,
6,OJK Indonesia,"Beberapa kasus perusahaan asuransi spt Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL), Asuransi Jiwa Kresna (Kresna Life/PT AJK) ...",['Wanaartha Life'],https://twitter.com/ojkindonesia/status/1621747849246695424,https://twitter.com › ojkindonesia › status,
7,Begini Kabar Terbaru Pembayaran Polis Korban Asuransi ...,Tim Likuidasi PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) mengundang pemegang polis (pempol) untuk membahas tata cara pembayaran ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1751809222541763051,https://twitter.com › cnbcindonesia › status,
8,OJK Minta DPO Kasus Wanaartha Life Evelina Pietruschka ...,OJK Minta DPO Kasus Wanaartha Life Evelina Pietruschka Balik ke Indonesia https://t.co/KyV4eS6HYC.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1760713212901871982,https://twitter.com › Bisniscom › status,
9,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi ...,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi Obligasi https://t.co/sOtIIvkfCl.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1755422722359001445,https://twitter.com › Bisniscom › status,
